route,description,operator
468,Bury - Cutgate - Rochdale,First Manchester
469,Tottington - Bury,Stagecoach Manchester
471,Bolton - Bury - Rochdale,Go North West
472,Bury - Ramsbottom Circular,Go North West
474,Bury - Ramsbottom Circular,Go North West
475,Bury - Heywood,Stagecoach Manchester
477,Bury - Ramsbottom,Stagecoach Manchester
480,Bolton - Bury,Stagecoach Manchester
481,Blackburn - Haslingden - Rawtenstall - Bury,[BPTR] Burnley Bus Company
483,Burnley - Water - Rawtenstall - Bury,[BPTR] Burnley Bus Company
487,Bury - Nangreaves,Stagecoach Manchester
5,Warrington - Stockton Heath - Altrincham,[WBTR] Warrington's Own Buses
50,Salford Quays - Manchester - East Didsbury,Metroline Manchester
501,Johnson Fold - Bolton Interchange - Farnworth,Go North West
507,Bolton - Bradshaw Brow - Harwood Circular,Diamond
51,East Didsbury - Manchester - Salford Quays,Metroline Manchester
511,Bury - Walshaw - Withins - Breightmet - Leverhulme,Diamond
512,Bury - Radcliffe - Farnworth,Diamond
513,Bury - Radcliffe - Farnworth,Diamond
516,Horwich - Westhoughton - Atherton - Leigh,Diamond
52,Trafford Centre - Failsworth,Stagecoach Manchester
520,Bolton - Westhoughton Circular,Go North West
521,Blackrod - Farnworth - Little Lever,Diamond
524,Bolton - Radcliffe - Bury,Go North West
525,Bolton - Smithills circular,Diamond
526,Bolton - Halliwell - Barrow Bridge,Diamond
527,Bolton - Smithills Hall,Diamond
53,Cheetham Hill - Salford,Stagecoach Manchester
533,Bolton - Bradshaw Brow - Bromley Cross - Egerton,Diamond
534,Bolton - Oldhams Estate,Go North West
535,Bolton - Astley Bridge - Belmont,Diamond
537,Bolton - Astley Bridge - Eagley,Diamond
541,Bolton - Tonge Moor Rd - Bromley Cross circular,Diamond
544,Bolton - Darcy Lever - Little Lever Circular,Diamond
553,Higher Green - Boothstown - Farnworth,Diamond
557,Royal Bolton Hospital - Farnworth - Ringley Fold,Diamond
559,Bolton - Westhoughton - Ashton In Makerfield,Diamond
56,Manchester - Higher Blackley circular,Stagecoach Manchester
561,Bolton - Withins Circular,Go North West
562,Bolton - Withins Circular,Go North West
57,Oldham - Higginshaw - Shaw - Rushcroft circular,Stagecoach Manchester
571,Bolton - Great Lever Circular,Go North West
572,Bolton - Great Lever Circular,Go North West
573,Bolton - Ladybridge - Sutton Estate,Diamond
574,Bolton - Ladybridge - Sutton Estate,Diamond
575,Bolton - Horwich - Wigan,Go North West
576,Bolton - Horwich - Old Lord's Estate,Go North West
582,Bolton - Atherton - Leigh,Go North West
583,Leigh - Hag Fold - Shakerley - Tyldesley,Diamond
584,Leigh - Crankwood,Diamond
587,Halifax - Rochdale,[TPEN] Team Pennine
588,Leigh - Lowton,Diamond
589,Leigh - Lowton - Lowton Circular,Diamond
59,Manchester - Oldham,Stagecoach Manchester
590,Halifax - Todmorden - Rochdale,[FHUD] First
594,Leigh - Astley - New Hall Farm - Tyldesley Circula,Diamond
596,Leigh - Landside circular,Diamond
597,Leigh Infirmary - Leigh - Leigh Sports Village,Diamond
5A,Warrington - Latchford - Partington - Sale,[WBTR] Warrington's Own Buses
5B,Warrington - Stockton Heath - Sale,[WBTR] Warrington's Own Buses
601,Wigan - Highfield Grange circular,Go North West
602,Newton Hospital - Ashton-in-Makerfield,[HUYT] HTL Buses
602,Wigan - Highfield Grange circular,Go North West
603,Wigan - Kitt Green circular,Go North West
604,Wigan - Kitt Green circular,Go North West
605,Wigan - Beech Hill circular,Go North West
606,Wigan - Beech Hill circular,Go North West
607,Wigan - Bolton,Go North West
608,Wigan - Leigh,Go North West
609,Wigan - Higher Folds,Go North West
610,Wigan - Leigh,Go North West
611,Wigan - Leigh,Go North West
613,Wigan Bus Station - New Springs,Go North West
615,Wigan - Middlebrook,Go North West
629,Platt Bridge - Golborne,Go North West
629,Golborne - Platt Bridge,Go North West
630,Wigan - Platt Bridge,Go North West
631,Wigan - Standish,Go North West
632,Wigan - Chorley,Go North West
633,St John Rigby College - Wigan,Go North West
634,Wigan - Belle Green - Castle Hill circular,Diamond
635,Wigan - Shevington - Appley Bridge circular,Go North West
639,Wigan - Worsley Hall Circular,Go North West
640,Wigan - Shevington Circular,Go North West
641,Wigan - Standish Circular,Go North West
65,Eccles - Monton Green - Alder Forest circular,Diamond
654,Newton - Edmund Arrowsmith Sch,[SCMY] Stagecoach Merseyside & South Lancs
66,Prestwich - Agecroft - Swinton - Eccles,Diamond
660,St John Rigby College (Layby) Gathurst - Bag Lane,Stagecoach Manchester
661,St John Rigby College - Cook Street,Stagecoach Manchester
662,St John Rigby College - Leigh Town Hall,Stagecoach Manchester
663,St John Rigby College - Ince,Stagecoach Manchester
664,St John Rigby College - Winstanley College - Leigh,Stagecoach Manchester
665,St John Rigby College - Lane Head,Stagecoach Manchester
666,St. John Rigby College - Lowton,Stagecoach Manchester
667,Winstanley Coll + St. John Rigby Coll - Hawkley,Stagecoach Manchester
668,Winstanley College - Boar's Head,Vision Bus
669,St John Rigby College (Layby) Gathurst - John Stre,Stagecoach Manchester
67,Manchester - Cadishead,Stagecoach Manchester
67A,Manchester - Cadishead,Stagecoach Manchester
688,Cedar Mount School - Monsall,Diamond
7,Stockport - Reddish - Dane Bank - Gorton - Droysld,Metroline Manchester
70,Eccles - Ellesmere Park - Pendleton,Diamond
700,Fairfield High School - Dane Bank,Metroline Manchester
700,Dane Bank - Fairfield High School,Go North West
701,Denton Community College - Dane Bank,Go North West
701,Denton Community College - Dane Bank,Metroline Manchester
702,St Peter's RC High School - Harpurhey,Diamond
703,Monsall - Wright Robinson College,Metroline Manchester
704,Harpurhey - Wright Robinson College,Metroline Manchester
705,Wright Robinson College - Haughton Green,Diamond
705,Wright Robinson College - Dane Bank,Go North West
706,Wright Robinson College - Levenshulme,Metroline Manchester
707,Dane Bank - Wright Robinson College,Go North West
708,Co-Operative Academy - New Moston,First Manchester
709,St Matthews High School - Ancoats,First Manchester
710,St Peter's RC High School - Beswick,Diamond
711,Our Lady's RC High School - Monsall,Stagecoach Manchester
713,St Peter's RC High School - Newton Heath,Diamond
714,Benchill - Barlow RC High School,Diamond
715,Coop Academy North Manchester - Cheetham Hill,Stagecoach Manchester
716,Barlow RC High School - Wythenshawe,Diamond
717,Chetwood Primary School - Our Lady's High School,Stagecoach Manchester
718,Moston Vale - Our Lady's RC High School,Stagecoach Manchester
719,Beswick - St Thomas More College,Metroline Manchester
720,Hulme - Loreto High School,Metroline Manchester
